Age,Gender,HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
All Ages,Female,IP,NA,NA,Labor/Delivery/Newborns,2017,279.477,33.267,"9,438.35","1,123.47",29.611,1.044,"9,850.34","1,172.51",28.372,0.033,0.036,0.03,0.003,0.012,0.043,-0.009,0.102,0.123,0.095,0.006,0.044,0.143,-0.036
All Ages,Female,IP,NA,NA,Labor/Delivery/Newborns,2018,289.729,33.874,"9,832.68","1,149.61",29.466,1.054,"10,360.18","1,211.28",27.966,0.037,0.018,0.042,-0.005,0.01,0.052,-0.014,0.142,0.143,0.141,0.001,0.054,0.202,-0.05
All Ages,Female,IP,NA,NA,Medical,2014,286.452,15.482,"15,961.85",862.685,17.946,1,"15,961.85",862.685,17.946,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,Medical,2015,287.805,15.174,"16,705.55",880.745,17.228,1.011,"16,895.97",890.784,17.034,0.005,-0.02,0.047,-0.04,0.011,0.059,-0.051,0.005,-0.02,0.047,-0.04,0.011,0.059,-0.051
All Ages,Female,IP,NA,NA,Medical,2016,290.408,14.789,"17,294.65",880.71,16.792,1.023,"17,689.12",900.798,16.417,0.009,-0.025,0.035,-0.025,0.011,0.047,-0.036,0.014,-0.045,0.083,-0.064,0.023,0.108,-0.085
All Ages,Female,IP,NA,NA,Medical,2017,296.934,14.631,"18,170.96",895.364,16.341,1.04,"18,905.47",931.557,15.706,0.022,-0.011,0.051,-0.027,0.017,0.069,-0.043,0.037,-0.055,0.138,-0.089,0.04,0.184,-0.125
All Ages,Female,IP,NA,NA,Medical,2018,305.532,15.115,"18,539.69",917.153,16.48,1.057,"19,593.26",969.273,15.594,0.029,0.033,0.02,0.008,0.016,0.036,-0.007,0.067,-0.024,0.162,-0.082,0.057,0.228,-0.131
All Ages,Female,IP,NA,NA,Mental Health,2014,27.791,3.052,"8,566.83",940.886,3.244,1,"8,566.83",940.886,3.244,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,Mental Health,2015,28.516,3.068,"8,887.79",956.144,3.208,0.998,"8,869.70",954.198,3.215,0.026,0.005,0.037,-0.011,-0.002,0.035,-0.009,0.026,0.005,0.037,-0.011,-0.002,0.035,-0.009
All Ages,Female,IP,NA,NA,Mental Health,2016,29.75,3.166,"9,337.28",993.659,3.186,0.991,"9,250.32",984.406,3.216,0.043,0.032,0.051,-0.007,-0.007,0.043,0,0.07,0.037,0.09,-0.018,-0.009,0.08,-0.009
All Ages,Female,IP,NA,NA,Mental Health,2017,32.588,3.488,"9,500.75","1,016.84",3.43,0.993,"9,434.92","1,009.80",3.454,0.095,0.102,0.018,0.077,0.002,0.02,0.074,0.173,0.143,0.109,0.057,-0.007,0.101,0.065
All Ages,Female,IP,NA,NA,Mental Health,2018,36.763,3.71,"10,169.65","1,026.32",3.615,1.002,"10,185.06","1,027.87",3.61,0.128,0.064,0.07,0.054,0.009,0.08,0.045,0.323,0.216,0.187,0.114,0.002,0.189,0.113
All Ages,Female,IP,NA,NA,Other,2014,11.931,0.238,"37,184.70",741.754,0.321,1,"37,184.70",741.754,0.321,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,Other,2015,13.575,0.332,"35,795.13",875.12,0.379,1,"35,795.13",875.12,0.379,0.138,0.394,-0.037,0.182,0,-0.037,0.182,0.138,0.394,-0.037,0.182,0,-0.037,0.182
All Ages,Female,IP,NA,NA,Other,2016,14.964,0.305,"39,949.00",815.001,0.375,1,"39,949.00",815.001,0.375,0.102,-0.08,0.116,-0.012,0,0.116,-0.012,0.254,0.283,0.074,0.167,0,0.074,0.167
All Ages,Female,IP,NA,NA,Other,2017,15.62,0.301,"44,918.93",866.406,0.348,1,"44,918.93",866.406,0.348,0.044,-0.013,0.124,-0.072,0,0.124,-0.072,0.309,0.266,0.208,0.084,0,0.208,0.084
All Ages,Female,IP,NA,NA,Other,2018,3.785,0.217,"16,714.57",956.467,0.226,1,"16,714.57",956.467,0.226,-0.758,-0.281,-0.628,-0.349,0,-0.628,-0.349,-0.683,-0.09,-0.55,-0.294,0,-0.55,-0.294
All Ages,Female,IP,NA,NA,SNF,2014,7.318,0.334,"6,139.04",280.614,1.192,1,"6,139.04",280.614,1.192,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,SNF,2015,6.656,0.337,"5,944.63",301.034,1.12,1,"5,944.63",301.034,1.12,-0.09,0.008,-0.032,-0.061,0,-0.032,-0.061,-0.09,0.008,-0.032,-0.061,0,-0.032,-0.061
All Ages,Female,IP,NA,NA,SNF,2016,6.326,0.289,"6,030.59",275.233,1.049,1,"6,030.59",275.233,1.049,-0.05,-0.143,0.014,-0.063,0,0.014,-0.063,-0.135,-0.137,-0.018,-0.12,0,-0.018,-0.12
All Ages,Female,IP,NA,NA,SNF,2017,5.904,0.291,"5,928.10",292.649,0.996,1,"5,928.10",292.649,0.996,-0.067,0.009,-0.017,-0.051,0,-0.017,-0.051,-0.193,-0.129,-0.034,-0.164,0,-0.034,-0.164
All Ages,Female,IP,NA,NA,SNF,2018,5.523,0.281,"5,740.85",291.68,0.962,1,"5,740.85",291.68,0.962,-0.065,-0.037,-0.032,-0.034,0,-0.032,-0.034,-0.245,-0.161,-0.065,-0.193,0,-0.065,-0.193
All Ages,Female,IP,NA,NA,Substance Use,2014,9.394,1.32,"8,935.78","1,255.40",1.051,1,"8,935.78","1,255.40",1.051,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,Substance Use,2015,10.325,1.521,"9,312.87","1,371.77",1.109,0.998,"9,292.87","1,368.82",1.111,0.099,0.152,0.042,0.055,-0.002,0.04,0.057,0.099,0.152,0.042,0.055,-0.002,0.04,0.057
All Ages,Female,IP,NA,NA,Substance Use,2016,11.944,1.761,"10,257.60","1,512.05",1.164,0.991,"10,164.42","1,498.31",1.175,0.157,0.158,0.101,0.05,-0.007,0.094,0.058,0.271,0.334,0.148,0.108,-0.009,0.137,0.118
All Ages,Female,IP,NA,NA,Substance Use,2017,14.036,1.943,"11,587.58","1,604.51",1.211,0.983,"11,394.60","1,577.78",1.232,0.175,0.104,0.13,0.04,-0.008,0.121,0.048,0.494,0.473,0.297,0.152,-0.017,0.275,0.172
All Ages,Female,IP,NA,NA,Substance Use,2018,14.197,1.881,"12,024.55","1,593.01",1.181,0.981,"11,797.22","1,562.89",1.203,0.011,-0.032,0.038,-0.025,-0.002,0.035,-0.023,0.511,0.425,0.346,0.123,-0.019,0.32,0.145
All Ages,Female,IP,NA,NA,Surgical,2014,465.68,13.494,"33,578.22",973.01,13.869,1,"33,578.22",973.01,13.869,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,IP,NA,NA,Surgical,2015,469.668,13.097,"35,186.73",981.236,13.348,1.008,"35,457.97",988.8,13.246,0.009,-0.029,0.048,-0.038,0.008,0.056,-0.045,0.009,-0.029,0.048,-0.038,0.008,0.056,-0.045
All Ages,Female,IP,NA,NA,Surgical,2016,496.456,12.794,"36,523.90",941.23,13.593,1.031,"37,663.84",970.607,13.181,0.057,-0.023,0.038,0.018,0.023,0.062,-0.005,0.066,-0.052,0.088,-0.02,0.031,0.122,-0.05
All Ages,Female,IP,NA,NA,Surgical,2017,501.977,12.295,"38,347.31",939.229,13.09,1.052,"40,357.93",988.475,12.438,0.011,-0.039,0.05,-0.037,0.021,0.072,-0.056,0.078,-0.089,0.142,-0.056,0.052,0.202,-0.103
All Ages,Female,IP,NA,NA,Surgical,2018,509.631,12.283,"39,547.96",953.149,12.886,1.066,"42,173.87","1,016.44",12.084,0.015,-0.001,0.031,-0.016,0.013,0.045,-0.028,0.094,-0.09,0.178,-0.071,0.066,0.256,-0.129
All Ages,Female,OP,All,NA,All Outpatient,2014,"1,537.74",248.066,479.159,77.297,"3,209.25",1,479.159,77.297,"3,209.25",,,0,0,0,0,0,0,0,0,0,0,0,0
All Ages,Female,OP,All,NA,All Outpatient,2015,"1,588.83",262.294,494.734,81.674,"3,211.48",0.994,491.972,81.218,"3,229.50",0.033,0.057,0.032,0.001,-0.005,0.027,0.006,0.033,0.057,0.032,0.001,-0.005,0.027,0.006
All Ages,Female,OP,All,NA,All Outpatient,2016,"1,686.10",282.223,512.802,85.834,"3,288.01",0.984,504.643,84.468,"3,341.16",0.061,0.076,0.036,0.024,0,0.036,0.024,0.096,0.138,0.07,0.025,-0.006,0.064,0.031
All Ages,Female,OP,All,NA,All Outpatient,2017,"1,767.59",296.752,546.313,91.718,"3,235.50",0.978,534.148,89.675,"3,309.18",0.048,0.051,0.066,-0.017,-0.015,0.05,-0.002,0.149,0.196,0.14,0.008,-0.02,0.117,0.029
All Ages,Female,OP,All,NA,All Outpatient,2018,"1,865.34",314.116,567.778,95.611,"3,285.34",0.966,548.372,92.344,"3,401.60",0.055,0.059,0.039,0.016,0,0.039,0.016,0.213,0.266,0.185,0.025,-0.02,0.161,0.046
All Ages,Female,OP,Procedure,NA,All Outpatient Procedures,2014,568.05,98.624,199.014,34.553,"2,854.33",1,199.014,34.553,"2,854.33",,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Procedure,NA,All Outpatient Procedures,2015,581.129,103.29,201.915,35.889,"2,878.09",1.002,202.326,35.962,"2,872.24",0.023,0.047,0.015,0.008,0.002,0.017,0.006,0.023,0.047,0.015,0.008,0.002,0.017,0.006
All Ages,Female,OP,Procedure,NA,All Outpatient Procedures,2016,615.246,111.109,206.502,37.293,"2,979.38",1.001,206.621,37.314,"2,977.66",0.059,0.076,0.023,0.035,-0.001,0.021,0.037,0.083,0.127,0.038,0.044,0.001,0.038,0.043
All Ages,Female,OP,Procedure,NA,All Outpatient Procedures,2017,637.751,115.555,221.617,40.155,"2,877.72",0.977,216.6,39.246,"2,944.37",0.037,0.04,0.073,-0.034,-0.023,0.048,-0.011,0.123,0.172,0.114,0.008,-0.023,0.088,0.032
All Ages,Female,OP,Procedure,NA,All Outpatient Procedures,2018,658.971,120.73,221.186,40.523,"2,979.26",0.982,217.213,39.796,"3,033.75",0.033,0.045,-0.002,0.035,0.005,0.003,0.03,0.16,0.224,0.111,0.044,-0.018,0.091,0.063
All Ages,Female,OP,Procedure,NA,Ambulance,2014,29.797,4.141,603.33,83.841,49.388,1,603.33,83.841,49.388,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Procedure,NA,Ambulance,2015,31.242,4.379,628.732,88.131,49.691,1.012,636.002,89.15,49.123,0.049,0.058,0.042,0.006,0.012,0.054,-0.005,0.049,0.058,0.042,0.006,0.012,0.054,-0.005
All Ages,Female,OP,Procedure,NA,Ambulance,2016,32.922,4.637,650.067,91.56,50.644,1.019,662.112,93.257,49.722,0.054,0.059,0.034,0.019,0.007,0.041,0.012,0.105,0.12,0.077,0.025,0.019,0.097,0.007
All Ages,Female,OP,Procedure,NA,Ambulance,2017,34.134,4.707,670.705,92.488,50.893,1.016,681.397,93.963,50.095,0.037,0.015,0.032,0.005,-0.003,0.029,0.007,0.146,0.137,0.112,0.03,0.016,0.129,0.014
All Ages,Female,OP,Procedure,NA,Ambulance,2018,32.594,4.678,630.889,90.554,51.664,1.049,661.856,94.999,49.247,-0.045,-0.006,-0.059,0.015,0.033,-0.029,-0.017,0.094,0.13,0.046,0.046,0.049,0.097,-0.003
All Ages,Female,OP,Procedure,NA,DME,2014,45.183,11.096,143.332,35.2,315.236,1,143.332,35.2,315.236,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Procedure,NA,DME,2015,46.341,11.559,143.316,35.748,323.351,1.007,144.286,35.99,321.177,0.026,0.042,0,0.026,0.007,0.007,0.019,0.026,0.042,0,0.026,0.007,0.007,0.019
All Ages,Female,OP,Procedure,NA,DME,2016,48.617,12.222,143.063,35.965,339.83,0.987,141.261,35.512,344.164,0.049,0.057,-0.002,0.051,-0.019,-0.021,0.072,0.076,0.101,-0.002,0.078,-0.013,-0.014,0.092
All Ages,Female,OP,Procedure,NA,DME,2017,49.077,12.373,144.329,36.387,340.036,0.957,138.116,34.82,355.334,0.009,0.012,0.009,0.001,-0.031,-0.022,0.032,0.086,0.115,0.007,0.079,-0.043,-0.036,0.127
All Ages,Female,OP,Procedure,NA,DME,2018,50.071,12.322,139.832,34.413,358.08,0.983,137.459,33.829,364.262,0.02,-0.004,-0.031,0.053,0.027,-0.005,0.025,0.108,0.11,-0.024,0.136,-0.017,-0.041,0.156
All Ages,Female,OP,Procedure,NA,Lab,2014,80.184,18.218,63.337,14.39,"1,266.00",1,63.337,14.39,"1,266.00",,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Procedure,NA,Lab,2015,79.281,18.631,61.326,14.412,"1,292.78",1.015,62.243,14.627,"1,273.73",-0.011,0.023,-0.032,0.021,0.015,-0.017,0.006,-0.011,0.023,-0.032,0.021,0.015,-0.017,0.006
All Ages,Female,OP,Procedure,NA,Lab,2016,88.792,20.804,63.331,14.838,"1,402.03",1.053,66.7,15.627,"1,331.23",0.12,0.117,0.033,0.085,0.038,0.072,0.045,0.107,0.142,0,0.107,0.053,0.053,0.052
All Ages,Female,OP,Procedure,NA,Lab,2017,90.639,22.342,62.773,15.473,"1,443.91",1.07,67.164,16.556,"1,349.51",0.021,0.074,-0.009,0.03,0.016,0.007,0.014,0.13,0.226,-0.009,0.141,0.07,0.06,0.066
All Ages,Female,OP,Procedure,NA,Lab,2018,87.454,22.595,60.116,15.532,"1,454.76",1.062,63.824,16.49,"1,370.24",-0.035,0.011,-0.042,0.008,-0.008,-0.05,0.015,0.091,0.24,-0.051,0.149,0.062,0.008,0.082
All Ages,Female,OP,Procedure,NA,Other Outpatient,2014,171.295,23.118,256.708,34.646,667.276,1,256.708,34.646,667.276,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Procedure,NA,Other Outpatient,2015,180.529,24.768,265.523,36.429,679.9,1.008,267.758,36.736,674.224,0.054,0.071,0.034,0.019,0.008,0.043,0.01,0.054,0.071,0.034,0.019,0.008,0.043,0.01
All Ages,Female,OP,Procedure,NA,Other Outpatient,2016,193.17,26.735,270.971,37.502,712.881,1.02,276.35,38.247,699.006,0.07,0.079,0.021,0.049,0.011,0.032,0.037,0.128,0.156,0.056,0.068,0.02,0.077,0.048
All Ages,Female,OP,Procedure,NA,Other Outpatient,2017,203.115,27.971,279.266,38.458,727.317,1.025,286.305,39.427,709.437,0.051,0.046,0.031,0.02,0.005,0.036,0.015,0.186,0.21,0.088,0.09,0.025,0.115,0.063
All Ages,Female,OP,Procedure,NA,Other Outpatient,2018,213.871,29.889,283.357,39.599,754.773,1.025,290.413,40.585,736.435,0.053,0.069,0.015,0.038,0,0.014,0.038,0.249,0.293,0.104,0.131,0.025,0.131,0.104
All Ages,Female,OP,Procedure,NA,Radiology,2014,241.59,42.051,434.181,75.573,556.427,1,434.181,75.573,556.427,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Procedure,NA,Radiology,2015,243.735,43.952,445.234,80.289,547.431,0.988,439.968,79.339,553.984,0.009,0.045,0.025,-0.016,-0.012,0.013,-0.004,0.009,0.045,0.025,-0.016,-0.012,0.013,-0.004
All Ages,Female,OP,Procedure,NA,Radiology,2016,251.744,46.712,459.15,85.197,548.284,0.991,454.792,84.389,553.537,0.033,0.063,0.031,0.002,0.002,0.034,-0.001,0.042,0.111,0.058,-0.015,-0.009,0.047,-0.005
All Ages,Female,OP,Procedure,NA,Radiology,2017,260.785,48.162,549.008,101.391,475.011,0.99,543.312,100.339,479.991,0.036,0.031,0.196,-0.134,-0.001,0.195,-0.133,0.079,0.145,0.264,-0.146,-0.01,0.251,-0.137
All Ages,Female,OP,Procedure,NA,Radiology,2018,274.982,51.246,562.851,104.893,488.552,0.951,535.437,99.784,513.565,0.054,0.064,0.025,0.029,-0.039,-0.014,0.07,0.138,0.219,0.296,-0.122,-0.049,0.233,-0.077
All Ages,Female,OP,Visits,NA,All Outpatient Visits,2014,969.691,149.442,"2,732.14",421.058,354.92,1,"2,732.14",421.058,354.92,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Visits,NA,All Outpatient Visits,2015,"1,007.70",159.003,"2,848.09",449.397,353.815,0.99,"2,820.55",445.052,357.269,0.039,0.064,0.042,-0.003,-0.01,0.032,0.007,0.039,0.064,0.042,-0.003,-0.01,0.032,0.007
All Ages,Female,OP,Visits,NA,All Outpatient Visits,2016,"1,070.85",171.113,"2,972.81",475.031,360.215,0.991,"2,945.92",470.735,363.503,0.063,0.076,0.044,0.018,0.001,0.044,0.017,0.104,0.145,0.088,0.015,-0.009,0.078,0.024
All Ages,Female,OP,Visits,NA,All Outpatient Visits,2017,"1,129.84",181.198,"3,157.57",506.393,357.821,0.981,"3,097.03",496.684,364.815,0.055,0.059,0.062,-0.007,-0.01,0.051,0.004,0.165,0.212,0.156,0.008,-0.019,0.134,0.028
All Ages,Female,OP,Visits,NA,All Outpatient Visits,2018,"1,206.37",193.386,"3,353.08",537.512,359.78,0.978,"3,279.52",525.719,367.85,0.068,0.067,0.062,0.005,-0.003,0.059,0.008,0.244,0.294,0.227,0.014,-0.022,0.2,0.036
All Ages,Female,OP,Visits,NA,ER,2014,339.548,72.324,"1,715.27",365.354,197.956,1,"1,715.27",365.354,197.956,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Visits,NA,ER,2015,366.539,80.739,"1,802.79",397.105,203.318,1.008,"1,817.46",400.337,201.677,0.079,0.116,0.051,0.027,0.008,0.06,0.019,0.079,0.116,0.051,0.027,0.008,0.06,0.019
All Ages,Female,OP,Visits,NA,ER,2016,397.638,89.747,"1,890.62",426.715,210.321,1.022,"1,933.00",436.279,205.71,0.085,0.112,0.049,0.034,0.014,0.064,0.02,0.171,0.241,0.102,0.062,0.022,0.127,0.039
All Ages,Female,OP,Visits,NA,ER,2017,424.104,97.76,"1,988.16",458.29,213.314,1.032,"2,051.13",472.805,206.766,0.067,0.089,0.052,0.014,0.009,0.061,0.005,0.249,0.352,0.159,0.078,0.032,0.196,0.045
All Ages,Female,OP,Visits,NA,ER,2018,449.868,105.858,"2,112.73",497.146,212.932,1.029,"2,173.46",511.436,206.982,0.061,0.083,0.063,-0.002,-0.003,0.06,0.001,0.325,0.464,0.232,0.076,0.029,0.267,0.046
All Ages,Female,OP,Visits,NA,Observation,2014,48.523,5.003,"1,944.62",200.519,24.953,1,"1,944.62",200.519,24.953,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Visits,NA,Observation,2015,48.957,5.088,"2,030.60",211.035,24.11,0.978,"1,986.54",206.456,24.644,0.009,0.017,0.044,-0.034,-0.022,0.022,-0.012,0.009,0.017,0.044,-0.034,-0.022,0.022,-0.012
All Ages,Female,OP,Visits,NA,Observation,2016,49.8,5.28,"2,075.70",220.055,23.992,0.943,"1,957.13",207.484,25.445,0.017,0.038,0.022,-0.005,-0.036,-0.015,0.032,0.026,0.055,0.067,-0.039,-0.057,0.006,0.02
All Ages,Female,OP,Visits,NA,Observation,2017,56.024,5.688,"2,257.78",229.225,24.814,0.924,"2,086.46",211.832,26.851,0.125,0.077,0.088,0.034,-0.02,0.066,0.055,0.155,0.137,0.161,-0.006,-0.076,0.073,0.076
All Ages,Female,OP,Visits,NA,Observation,2018,61.253,6.048,"2,423.34",239.284,25.276,0.921,"2,230.88",220.28,27.457,0.093,0.063,0.073,0.019,-0.004,0.069,0.023,0.262,0.209,0.246,0.013,-0.079,0.147,0.1
All Ages,Female,OP,Visits,NA,Surgery,2014,581.62,72.115,"4,405.80",546.273,132.012,1,"4,405.80",546.273,132.012,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,OP,Visits,NA,Surgery,2015,592.2,73.177,"4,534.63",560.332,130.595,0.997,"4,522.41",558.822,130.948,0.018,0.015,0.029,-0.011,-0.003,0.026,-0.008,0.018,0.015,0.029,-0.011,-0.003,0.026,-0.008
All Ages,Female,OP,Visits,NA,Surgery,2016,623.413,76.087,"4,707.54",574.55,132.429,1.001,"4,710.44",574.903,132.347,0.053,0.04,0.038,0.014,0.003,0.042,0.011,0.072,0.055,0.068,0.003,0.001,0.069,0.003
All Ages,Female,OP,Visits,NA,Surgery,2017,649.715,77.75,"4,980.70",596.029,130.447,0.994,"4,952.17",592.615,131.198,0.042,0.022,0.058,-0.015,-0.006,0.051,-0.009,0.117,0.078,0.13,-0.012,-0.006,0.124,-0.006
All Ages,Female,OP,Visits,NA,Surgery,2018,695.25,81.479,"5,291.44",620.126,131.392,0.985,"5,211.34",610.74,133.411,0.07,0.048,0.062,0.007,-0.009,0.052,0.017,0.195,0.13,0.201,-0.005,-0.015,0.183,0.011
All Ages,Female,PH,NA,NA,Administered Drugs,2014,211.723,8.682,481.496,19.745,439.719,1,481.496,19.745,439.719,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,PH,NA,NA,Administered Drugs,2015,234.722,9.366,542.615,21.651,432.576,0.97,526.539,21.009,445.783,0.109,0.079,0.127,-0.016,-0.03,0.094,0.014,0.109,0.079,0.127,-0.016,-0.03,0.094,0.014
All Ages,Female,PH,NA,NA,Administered Drugs,2016,260.976,10.098,621.192,24.035,420.121,0.938,582.767,22.548,447.822,0.112,0.078,0.145,-0.029,-0.033,0.107,0.005,0.233,0.163,0.29,-0.045,-0.062,0.21,0.018
All Ages,Female,PH,NA,NA,Administered Drugs,2017,291.842,11.546,701.285,27.745,416.153,0.947,664.26,26.28,439.349,0.118,0.143,0.129,-0.009,0.01,0.14,-0.019,0.378,0.33,0.456,-0.054,-0.053,0.38,-0.001
All Ages,Female,PH,NA,NA,Administered Drugs,2018,336.509,13.318,810.237,32.067,415.321,0.96,777.922,30.788,432.574,0.153,0.153,0.155,-0.002,0.014,0.171,-0.015,0.589,0.534,0.683,-0.055,-0.04,0.616,-0.016
All Ages,Female,PH,NA,NA,Administration of Drugs,2014,33.842,2.729,51.424,4.147,658.099,1,51.424,4.147,658.099,,,,,,,,0,0,0,0,0,0,0
All Ages,Female,PH,NA,NA,Administration of Drugs,2015,35.701,2.752,52.764,4.067,676.623,1.029,54.315,4.186,657.297,0.055,0.008,0.026,0.028,0.029,0.056,-0.001,0.055,0.008,0.026,0.028,0.029,0.056,-0.001
