Age,Gender,plan_type,Year,share_of_member_months
Age 19-25,Female,Not CDHP,2016,0.0386
Age 19-25,Female,Not CDHP,2017,0.0375
Age 19-25,Female,Not CDHP,2018,0.0367
Age 19-25,Female,CDHP,2014,0.0134
Age 19-25,Female,CDHP,2015,0.0149
Age 19-25,Female,CDHP,2016,0.0156
Age 19-25,Female,CDHP,2017,0.0166
Age 19-25,Female,CDHP,2018,0.0172
Age 26-44,Male,Not CDHP,2014,0.1031
Age 26-44,Male,Not CDHP,2015,0.0982
Age 26-44,Male,Not CDHP,2016,0.0963
Age 26-44,Male,Not CDHP,2017,0.0932
Age 26-44,Male,Not CDHP,2018,0.0911
Age 26-44,Male,CDHP,2014,0.0379
Age 26-44,Male,CDHP,2015,0.0421
Age 26-44,Male,CDHP,2016,0.0439
Age 26-44,Male,CDHP,2017,0.0470
Age 26-44,Male,CDHP,2018,0.0489
Age 26-44,Female,Not CDHP,2014,0.1088
Age 26-44,Female,Not CDHP,2015,0.1042
Age 26-44,Female,Not CDHP,2016,0.1029
Age 26-44,Female,Not CDHP,2017,0.1000
Age 26-44,Female,Not CDHP,2018,0.0977
Age 26-44,Female,CDHP,2014,0.0393
Age 26-44,Female,CDHP,2015,0.0435
Age 26-44,Female,CDHP,2016,0.0448
Age 26-44,Female,CDHP,2017,0.0481
Age 26-44,Female,CDHP,2018,0.0501
Age 45-54,Male,Not CDHP,2014,0.0674
Age 45-54,Male,Not CDHP,2015,0.0641
Age 45-54,Male,Not CDHP,2016,0.0627
Age 45-54,Male,Not CDHP,2017,0.0605
Age 45-54,Male,Not CDHP,2018,0.0587
Age 45-54,Male,CDHP,2014,0.0236
Age 45-54,Male,CDHP,2015,0.0262
Age 45-54,Male,CDHP,2016,0.0267
Age 45-54,Male,CDHP,2017,0.0278
Age 45-54,Male,CDHP,2018,0.0284
Age 45-54,Female,Not CDHP,2014,0.0739
Age 45-54,Female,Not CDHP,2015,0.0706
Age 45-54,Female,Not CDHP,2016,0.0693
Age 45-54,Female,Not CDHP,2017,0.0666
Age 45-54,Female,Not CDHP,2018,0.0645
Age 45-54,Female,CDHP,2014,0.0263
Age 45-54,Female,CDHP,2015,0.0291
Age 45-54,Female,CDHP,2016,0.0295
Age 45-54,Female,CDHP,2017,0.0307
Age 45-54,Female,CDHP,2018,0.0315
Age 55-64,Male,Not CDHP,2014,0.0588
Age 55-64,Male,Not CDHP,2015,0.0566
Age 55-64,Male,Not CDHP,2016,0.0562
Age 55-64,Male,Not CDHP,2017,0.0557
Age 55-64,Male,Not CDHP,2018,0.0550
Age 55-64,Male,CDHP,2014,0.0176
Age 55-64,Male,CDHP,2015,0.0204
Age 55-64,Male,CDHP,2016,0.0213
Age 55-64,Male,CDHP,2017,0.0230
Age 55-64,Male,CDHP,2018,0.0251
Age 55-64,Female,Not CDHP,2014,0.0655
Age 55-64,Female,Not CDHP,2015,0.0633
Age 55-64,Female,Not CDHP,2016,0.0632
Age 55-64,Female,Not CDHP,2017,0.0626
Age 55-64,Female,Not CDHP,2018,0.0612
Age 55-64,Female,CDHP,2014,0.0190
Age 55-64,Female,CDHP,2015,0.0222
Age 55-64,Female,CDHP,2016,0.0230
Age 55-64,Female,CDHP,2017,0.0249
Age 55-64,Female,CDHP,2018,0.0281
