HCCI_category,HCCI_outpatient_service_type,RX_generic_brand_indicator,HCCI_subcategory,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
Inpatient,NA,NA,Hospice,2014,1.82,0.14,"5,128.28",392.413,0.354,,"5,128.28",392.413,0.354,,,,,,,,0,0,0,0,,0,0
Inpatient,NA,NA,Hospice,2015,1.9,0.15,"5,247.98",418.166,0.363,,"5,247.98",418.166,0.363,0.048,0.092,0.023,0.024,,0.023,0.024,0.048,0.092,0.023,0.024,,0.023,0.024
Inpatient,NA,NA,Hospice,2016,1.8,0.16,"5,004.72",441.439,0.359,,"5,004.72",441.439,0.359,-0.056,0.045,-0.046,-0.01,,-0.046,-0.01,-0.011,0.141,-0.024,0.014,,-0.024,0.014
Inpatient,NA,NA,Hospice,2017,1.75,0.15,"5,237.29",453.989,0.334,,"5,237.29",453.989,0.334,-0.026,-0.043,0.046,-0.069,,0.046,-0.069,-0.036,0.092,0.021,-0.056,,0.021,-0.056
Inpatient,NA,NA,Hospice,2018,1.6,0.13,"4,078.36",324.768,0.392,,"4,078.36",324.768,0.392,-0.087,-0.161,-0.221,0.173,,-0.221,0.173,-0.12,-0.084,-0.205,0.107,,-0.205,0.107
Inpatient,NA,NA,Labor/Delivery/ Newborns,2014,165.97,17.23,"8,761.26",909.338,18.944,1,"8,761.26",909.338,18.944,,,,,,,,0,0,0,0,0,0,0
Inpatient,NA,NA,Labor/Delivery/ Newborns,2015,171.95,17.72,"9,022.44",930.051,19.058,1.028,"9,278.97",956.494,18.531,0.036,0.029,0.03,0.006,0.028,0.059,-0.022,0.036,0.029,0.03,0.006,0.028,0.059,-0.022
Inpatient,NA,NA,Labor/Delivery/ Newborns,2016,179.99,18.76,"9,247.77",964.094,19.463,1.044,"9,653.75","1,006.42",18.645,0.047,0.059,0.025,0.021,0.015,0.04,0.006,0.084,0.089,0.056,0.027,0.044,0.102,-0.016
Inpatient,NA,NA,Labor/Delivery/ Newborns,2017,185.74,19.52,"9,463.16",994.486,19.628,1.064,"10,068.96","1,058.15",18.447,0.032,0.04,0.023,0.008,0.019,0.043,-0.011,0.119,0.133,0.08,0.036,0.064,0.149,-0.026
Inpatient,NA,NA,Labor/Delivery/ Newborns,2018,193.07,19.93,"9,851.26","1,016.98",19.598,1.075,"10,590.40","1,093.29",18.23,0.039,0.021,0.041,-0.002,0.01,0.052,-0.012,0.163,0.157,0.124,0.035,0.075,0.209,-0.038
Inpatient,NA,NA,Medical,2014,296.59,15.55,"17,096.85",896.383,17.348,1,"17,096.85",896.383,17.348,,,,,,,,0,0,0,0,0,0,0
Inpatient,NA,NA,Medical,2015,296.19,15.29,"17,749.44",916.067,16.687,1.01,"17,935.32",925.66,16.514,-0.001,-0.017,0.038,-0.038,0.01,0.049,-0.048,-0.001,-0.017,0.038,-0.038,0.01,0.049,-0.048
Inpatient,NA,NA,Medical,2016,300.45,15.03,"18,374.92",918.968,16.351,1.021,"18,767.99",938.626,16.009,0.014,-0.017,0.035,-0.02,0.011,0.046,-0.031,0.013,-0.034,0.075,-0.057,0.021,0.098,-0.077
Inpatient,NA,NA,Medical,2017,309.88,14.93,"19,319.11",931.089,16.04,1.039,"20,075.48",967.542,15.436,0.031,-0.006,0.051,-0.019,0.017,0.07,-0.036,0.045,-0.04,0.13,-0.075,0.039,0.174,-0.11
Inpatient,NA,NA,Medical,2018,319.46,15.44,"19,672.43",950.497,16.239,1.059,"20,824.66","1,006.17",15.34,0.031,0.033,0.018,0.012,0.019,0.037,-0.006,0.077,-0.007,0.151,-0.064,0.059,0.218,-0.116
Inpatient,NA,NA,Mental Health,2014,23.49,2.68,"8,407.98",957.71,2.794,1,"8,407.98",957.71,2.794,,,,,,,,0,0,0,0,0,0,0
Inpatient,NA,NA,Mental Health,2015,24.29,2.7,"8,798.55",978.467,2.761,0.998,"8,779.89",976.392,2.767,0.034,0.01,0.046,-0.012,-0.002,0.044,-0.01,0.034,0.01,0.046,-0.012,-0.002,0.044,-0.01
Inpatient,NA,NA,Mental Health,2016,25.53,2.82,"9,245.42","1,022.61",2.761,0.991,"9,165.69","1,013.79",2.785,0.051,0.045,0.051,0,-0.007,0.044,0.006,0.087,0.055,0.1,-0.012,-0.009,0.09,-0.003
Inpatient,NA,NA,Mental Health,2017,27.84,3.11,"9,415.58","1,051.87",2.957,0.992,"9,341.08","1,043.54",2.981,0.091,0.102,0.018,0.071,0.001,0.019,0.07,0.185,0.163,0.12,0.058,-0.008,0.111,0.067
Inpatient,NA,NA,Mental Health,2018,31.17,3.33,"9,878.98","1,056.35",3.155,1.001,"9,892.98","1,057.85",3.151,0.12,0.072,0.049,0.067,0.009,0.059,0.057,0.327,0.246,0.175,0.129,0.001,0.177,0.128
Inpatient,NA,NA,Other Inpatient,2014,6.97,0.21,"25,598.06",779.882,0.272,,"25,598.06",779.882,0.272,,,,,,,,0,0,0,0,,0,0
Inpatient,NA,NA,Other Inpatient,2015,8.56,0.26,"27,453.71",840.895,0.312,,"27,453.71",840.895,0.312,0.228,0.235,0.072,0.145,,0.072,0.145,0.228,0.235,0.072,0.145,,0.072,0.145
Inpatient,NA,NA,Other Inpatient,2016,9.16,0.28,"28,655.44",878.915,0.32,,"28,655.44",878.915,0.32,0.071,0.072,0.044,0.026,,0.044,0.026,0.315,0.324,0.119,0.175,,0.119,0.175
Inpatient,NA,NA,Other Inpatient,2017,9.28,0.28,"30,006.51",906.655,0.309,,"30,006.51",906.655,0.309,0.012,-0.003,0.047,-0.033,,0.047,-0.033,0.331,0.32,0.172,0.135,,0.172,0.135
Inpatient,NA,NA,Other Inpatient,2018,2.68,0.2,"12,453.13",943.268,0.215,,"12,453.13",943.268,0.215,-0.711,-0.276,-0.585,-0.305,,-0.585,-0.305,-0.616,-0.045,-0.514,-0.21,,-0.514,-0.21
Inpatient,NA,NA,SNF,2014,6.75,0.3,"6,413.74",281.97,1.052,,"6,413.74",281.97,1.052,,,,,,,,0,0,0,0,,0,0
Inpatient,NA,NA,SNF,2015,6.21,0.29,"6,316.46",297.857,0.983,,"6,316.46",297.857,0.983,-0.08,-0.013,-0.015,-0.066,,-0.015,-0.066,-0.08,-0.013,-0.015,-0.066,,-0.015,-0.066
Inpatient,NA,NA,SNF,2016,5.97,0.26,"6,375.63",275.337,0.936,,"6,375.63",275.337,0.936,-0.039,-0.12,0.009,-0.048,,0.009,-0.048,-0.115,-0.131,-0.006,-0.11,,-0.006,-0.11
Inpatient,NA,NA,SNF,2017,5.61,0.26,"6,267.03",294.599,0.895,,"6,267.03",294.599,0.895,-0.06,0.023,-0.017,-0.044,,-0.017,-0.044,-0.168,-0.111,-0.023,-0.149,,-0.023,-0.149
Inpatient,NA,NA,SNF,2018,5.37,0.25,"6,051.85",279.2,0.888,,"6,051.85",279.2,0.888,-0.043,-0.061,-0.034,-0.009,,-0.034,-0.009,-0.204,-0.165,-0.056,-0.156,,-0.056,-0.156
Inpatient,NA,NA,Substance Use,2014,12.86,1.84,"8,640.81","1,237.11",1.489,1,"8,640.81","1,237.11",1.489,,,,,,,,0,0,0,0,0,0,0
Inpatient,NA,NA,Substance Use,2015,14.32,2.18,"9,108.32","1,388.62",1.572,1,"9,107.53","1,388.50",1.572,0.113,0.185,0.054,0.056,0,0.054,0.056,0.113,0.185,0.054,0.056,0,0.054,0.056
Inpatient,NA,NA,Substance Use,2016,16.9,2.56,"10,065.73","1,523.20",1.679,0.993,"9,992.53","1,512.13",1.691,0.18,0.172,0.105,0.068,-0.007,0.097,0.076,0.314,0.389,0.165,0.128,-0.007,0.156,0.136
Inpatient,NA,NA,Substance Use,2017,19.77,2.84,"11,275.48","1,619.98",1.753,0.987,"11,126.65","1,598.60",1.777,0.17,0.111,0.12,0.044,-0.006,0.113,0.051,0.537,0.542,0.305,0.178,-0.013,0.288,0.194
Inpatient,NA,NA,Substance Use,2018,20.55,2.84,"11,598.24","1,602.89",1.772,0.98,"11,365.97","1,570.79",1.808,0.039,0,0.029,0.01,-0.007,0.022,0.017,0.598,0.542,0.342,0.19,-0.02,0.315,0.215
Inpatient,NA,NA,Surgical,2014,497.91,12.98,"37,795.79",985.141,13.174,1,"37,795.79",985.141,13.174,,,,,,,,0,0,0,0,0,0,0
Inpatient,NA,NA,Surgical,2015,502.16,12.66,"39,372.99",992.25,12.754,1.008,"39,694.20","1,000.34",12.651,0.009,-0.025,0.042,-0.032,0.008,0.05,-0.04,0.009,-0.025,0.042,-0.032,0.008,0.05,-0.04
Inpatient,NA,NA,Surgical,2016,532.93,12.47,"40,882.39",956.655,13.036,1.028,"42,046.38",983.893,12.675,0.061,-0.015,0.038,0.022,0.02,0.059,0.002,0.07,-0.039,0.082,-0.01,0.028,0.112,-0.038
Inpatient,NA,NA,Surgical,2017,544.18,12.13,"42,796.08",954.276,12.716,1.049,"44,880.86","1,000.76",12.125,0.021,-0.027,0.047,-0.025,0.02,0.067,-0.043,0.093,-0.065,0.132,-0.035,0.049,0.187,-0.08
Inpatient,NA,NA,Surgical,2018,554,12,"43,809.94",948.912,12.645,1.072,"46,984.82","1,017.68",11.791,0.018,-0.011,0.024,-0.006,0.023,0.047,-0.028,0.113,-0.075,0.159,-0.04,0.072,0.243,-0.105
Outpatient,All,NA,All Outpatient,2014,"1,372.54",221.48,498.43,80.428,"2,753.72",1,498.43,80.43,"2,753.72",,,,,,,,0,0,0,0,0,0,0
Outpatient,All,NA,All Outpatient,2015,"1,419.39",234.39,514.264,84.922,"2,760.05",0.996,512.21,84.58,"2,771.11",0.034,0.058,0.032,0.003,-0.003,0.028,0.006,0.034,0.058,0.032,0.003,-0.003,0.028,0.006
Outpatient,All,NA,All Outpatient,2016,"1,504.41",252.22,532.291,89.24,"2,826.29",0.984,523.757,87.81,"2,872.35",0.06,0.076,0.035,0.025,0.001,0.035,0.024,0.096,0.139,0.067,0.027,-0.002,0.065,0.03
Outpatient,All,NA,All Outpatient,2017,"1,575.14",265.49,562.413,94.796,"2,800.69",0.975,548.512,92.45,"2,871.67",0.047,0.053,0.057,-0.009,-0.012,0.045,0.002,0.148,0.199,0.128,0.018,-0.014,0.112,0.032
Outpatient,All,NA,All Outpatient,2018,"1,661.80",280.69,584.097,98.658,"2,845.08",0.965,563.456,95.17,"2,949.30",0.055,0.057,0.038,0.016,0,0.039,0.016,0.211,0.267,0.173,0.035,-0.014,0.156,0.049
Outpatient,Procedure,NA,All Outpatient Procedures,2014,513.32,88.05,210.507,36.108,"2,438.48",1,210.507,36.11,"2,438.48",,,,,,,,0,0,0,0,0,0,0
Outpatient,Procedure,NA,All Outpatient Procedures,2015,525.91,92.1,213.653,37.416,"2,461.51",1.003,214.293,37.53,"2,454.15",0.025,0.046,0.015,0.009,0.003,0.018,0.006,0.025,0.046,0.015,0.009,0.003,0.018,0.006
Outpatient,Procedure,NA,All Outpatient Procedures,2016,557.03,98.99,217.67,38.682,"2,559.06",1.003,218.38,38.81,"2,550.74",0.059,0.075,0.019,0.04,0,0.019,0.039,0.085,0.124,0.034,0.049,0.003,0.037,0.046
Outpatient,Procedure,NA,All Outpatient Procedures,2017,576.58,103.26,228.129,40.855,"2,527.42",0.992,226.225,40.51,"2,548.69",0.035,0.043,0.048,-0.012,-0.012,0.036,-0.001,0.123,0.173,0.084,0.036,-0.008,0.075,0.045
Outpatient,Procedure,NA,All Outpatient Procedures,2018,594.45,107.63,227.123,41.121,"2,617.32",0.998,226.578,41.02,"2,623.63",0.031,0.042,-0.004,0.036,0.006,0.002,0.029,0.158,0.222,0.079,0.073,-0.002,0.076,0.076
Outpatient,Procedure,NA,Ambulance,2014,32.09,4.2,660.579,86.382,48.572,1,660.579,86.382,48.572,,,,,,,,0,0,0,0,0,0,0
Outpatient,Procedure,NA,Ambulance,2015,33.24,4.41,690.309,91.621,48.158,1.003,692.383,91.896,48.013,0.036,0.052,0.045,-0.009,0.003,0.048,-0.011,0.036,0.052,0.045,-0.009,0.003,0.048,-0.011
Outpatient,Procedure,NA,Ambulance,2016,35.25,4.7,710.65,94.814,49.607,1.018,723.719,96.558,48.711,0.06,0.066,0.029,0.03,0.015,0.045,0.015,0.099,0.121,0.076,0.021,0.018,0.096,0.003
Outpatient,Procedure,NA,Ambulance,2017,36.61,4.82,737.163,96.954,49.665,1.012,746.075,98.126,49.071,0.039,0.024,0.037,0.001,-0.006,0.031,0.007,0.141,0.148,0.116,0.023,0.012,0.129,0.01
Outpatient,Procedure,NA,Ambulance,2018,35.14,4.78,695.924,94.633,50.494,1.043,725.857,98.703,48.412,-0.04,-0.008,-0.056,0.017,0.031,-0.027,-0.013,0.095,0.139,0.054,0.04,0.043,0.099,-0.003
Outpatient,Procedure,NA,DME,2014,47.48,12.11,136.595,34.836,347.619,1,136.595,34.836,347.619,,,,,,,,0,0,0,0,0,0,0
Outpatient,Procedure,NA,DME,2015,48.67,12.6,137.165,35.515,354.823,0.994,136.294,35.29,357.091,0.025,0.041,0.004,0.021,-0.006,-0.002,0.027,0.025,0.041,0.004,0.021,-0.006,-0.002,0.027
Outpatient,Procedure,NA,DME,2016,50.72,13.28,136.023,35.625,372.861,0.976,132.755,34.769,382.041,0.042,0.054,-0.008,0.051,-0.018,-0.026,0.07,0.068,0.097,-0.004,0.073,-0.024,-0.028,0.099
Outpatient,Procedure,NA,DME,2017,51.44,13.56,136.676,36.024,376.383,0.95,129.866,34.23,396.119,0.014,0.021,0.005,0.009,-0.026,-0.022,0.037,0.083,0.12,0.001,0.083,-0.05,-0.049,0.14
Outpatient,Procedure,NA,DME,2018,52.91,13.67,134.068,34.641,394.644,0.961,128.821,33.285,410.717,0.029,0.008,-0.019,0.049,0.011,-0.008,0.037,0.114,0.129,-0.019,0.135,-0.039,-0.057,0.182
Outpatient,Procedure,NA,Lab,2014,68.59,15.46,65.192,14.697,"1,052.08",1,65.192,14.70,"1,052.08",,,,,,,,0,0,0,0,0,0,0
Outpatient,Procedure,NA,Lab,2015,67.84,15.78,63.168,14.698,"1,073.90",1.016,64.201,14.94,"1,056.62",-0.011,0.021,-0.031,0.021,0.016,-0.015,0.004,-0.011,0.021,-0.031,0.021,0.016,-0.015,0.004
Outpatient,Procedure,NA,Lab,2016,76.7,17.69,65.403,15.088,"1,172.66",1.06,69.349,16.00,"1,105.93",0.131,0.121,0.035,0.092,0.043,0.08,0.047,0.118,0.144,0.003,0.115,0.06,0.064,0.051
Outpatient,Procedure,NA,Lab,2017,77.89,19.03,64.648,15.793,"1,204.80",1.078,69.705,17.03,"1,117.38",0.016,0.075,-0.012,0.027,0.017,0.005,0.01,0.136,0.231,-0.008,0.145,0.078,0.069,0.062
Outpatient,Procedure,NA,Lab,2018,73.93,19.17,61.198,15.865,"1,208.07",1.067,65.299,16.93,"1,132.20",-0.051,0.007,-0.053,0.003,-0.01,-0.063,0.013,0.078,0.24,-0.061,0.148,0.067,0.002,0.076
Outpatient,Procedure,NA,Other Outpatient,2014,175.58,22.59,283.734,36.497,618.815,1,283.734,36.497,618.815,,,,,,,,0,0,0,0,0,0,0
Outpatient,Procedure,NA,Other Outpatient,2015,185.12,24.22,293.534,38.401,630.674,1.01,296.324,38.766,624.737,0.054,0.072,0.035,0.019,0.01,0.044,0.01,0.054,0.072,0.035,0.019,0.01,0.044,0.01
Outpatient,Procedure,NA,Other Outpatient,2016,196.38,25.94,297.875,39.346,659.263,1.021,304.046,40.161,645.882,0.061,0.071,0.015,0.045,0.011,0.026,0.034,0.118,0.149,0.05,0.065,0.021,0.072,0.044
Outpatient,Procedure,NA,Other Outpatient,2017,205.38,27.23,305.976,40.569,671.233,1.024,313.262,41.536,655.622,0.046,0.05,0.027,0.018,0.003,0.03,0.015,0.17,0.206,0.078,0.085,0.024,0.104,0.059
Outpatient,Procedure,NA,Other Outpatient,2018,216.09,29.07,309.63,41.649,697.908,1.021,316.205,42.533,683.395,0.052,0.067,0.012,0.04,-0.003,0.009,0.042,0.231,0.287,0.091,0.128,0.021,0.114,0.104
Outpatient,Procedure,NA,Radiology ,2014,189.58,33.7,510.46,90.731,371.395,1,510.46,90.731,371.395,,,,,,,,0,0,0,0,0,0,0
Outpatient,Procedure,NA,Radiology ,2015,191.04,35.08,521.696,95.808,366.182,0.996,519.555,95.415,367.692,0.008,0.041,0.022,-0.014,-0.004,0.018,-0.01,0.008,0.041,0.022,-0.014,-0.004,0.018,-0.01
Outpatient,Procedure,NA,Radiology ,2016,197.99,37.37,537.196,101.398,368.555,1.001,537.751,101.503,368.175,0.036,0.065,0.03,0.006,0.005,0.035,0.001,0.044,0.109,0.052,-0.008,0.001,0.053,-0.009
Outpatient,Procedure,NA,Radiology ,2017,205.26,38.62,614.104,115.558,334.236,1.011,621.045,116.864,330.5,0.037,0.034,0.143,-0.093,0.01,0.155,-0.102,0.083,0.146,0.203,-0.1,0.011,0.217,-0.11
Outpatient,Procedure,NA,Radiology ,2018,216.38,40.94,629.614,119.136,343.673,0.985,620.179,117.351,348.901,0.054,0.06,0.025,0.028,-0.026,-0.001,0.056,0.141,0.215,0.233,-0.075,-0.015,0.215,-0.061
Outpatient,Visits,NA,All Outpatient Visits,2014,859.22,133.43,"2,725.58",423.25,315.243,1,"2,725.58",423.25,315.243,,,,,,,,0,0,0,0,0,0,0
Outpatient,Visits,NA,All Outpatient Visits,2015,893.48,142.29,"2,838.22",451.989,314.805,0.993,"2,818.92",448.917,316.959,0.04,0.066,0.041,-0.001,-0.007,0.034,0.005,0.04,0.066,0.041,-0.001,-0.007,0.034,0.005
Outpatient,Visits,NA,All Outpatient Visits,2016,947.38,153.23,"2,962.46",479.144,319.795,0.994,"2,945.80",476.45,321.604,0.06,0.077,0.044,0.016,0.001,0.045,0.015,0.103,0.148,0.087,0.014,-0.006,0.081,0.02
Outpatient,Visits,NA,All Outpatient Visits,2017,998.57,162.24,"3,145.46",511.046,317.462,0.983,"3,091.79",502.325,322.973,0.054,0.059,0.062,-0.007,-0.012,0.05,0.004,0.162,0.216,0.154,0.007,-0.017,0.134,0.025
Outpatient,Visits,NA,All Outpatient Visits,2018,"1,067.35",173.06,"3,344.14",542.234,319.169,0.98,"3,277.38",531.409,325.671,0.069,0.067,0.063,0.005,-0.003,0.06,0.008,0.242,0.297,0.227,0.012,-0.02,0.202,0.033
Outpatient,Visits,NA,ER,2014,303.12,65.63,"1,699.86",368.054,178.321,1,"1,699.86",368.054,178.321,,,,,,,,0,0,0,0,0,0,0
Outpatient,Visits,NA,ER,2015,326.44,73.19,"1,787.47",400.763,182.624,1.009,"1,802.88",404.217,181.063,0.077,0.115,0.052,0.024,0.009,0.061,0.015,0.077,0.115,0.052,0.024,0.009,0.061,0.015
Outpatient,Visits,NA,ER,2016,353.41,81.42,"1,873.51",431.637,188.634,1.025,"1,920.90",442.556,183.98,0.083,0.112,0.048,0.033,0.017,0.065,0.016,0.166,0.241,0.102,0.058,0.025,0.13,0.032
Outpatient,Visits,NA,ER,2017,377.59,88.8,"1,972.82",463.936,191.397,1.035,"2,040.90",479.947,185.013,0.068,0.091,0.053,0.015,0.009,0.062,0.006,0.246,0.353,0.161,0.073,0.035,0.201,0.038
Outpatient,Visits,NA,ER,2018,399.89,95.96,"2,095.54",502.878,190.83,1.032,"2,162.03",518.833,184.962,0.059,0.081,0.062,-0.003,-0.003,0.059,0,0.319,0.462,0.233,0.07,0.032,0.272,0.037
Outpatient,Visits,NA,Observation,2014,39.72,3.83,"2,011.58",193.81,19.746,1,"2,011.58",193.81,19.746,,,,,,,,0,0,0,0,0,0,0
Outpatient,Visits,NA,Observation,2015,40.24,3.91,"2,094.31",203.218,19.216,0.98,"2,052.54",199.165,19.607,0.013,0.02,0.041,-0.027,-0.02,0.02,-0.007,0.013,0.02,0.041,-0.027,-0.02,0.02,-0.007
Outpatient,Visits,NA,Observation,2016,41,4.08,"2,130.72",212.006,19.244,0.949,"2,022.18",201.207,20.277,0.019,0.045,0.017,0.001,-0.032,-0.015,0.034,0.032,0.066,0.059,-0.025,-0.051,0.005,0.027
Outpatient,Visits,NA,Observation,2017,46.13,4.42,"2,326.49",222.673,19.828,0.921,"2,143.12",205.122,21.525,0.125,0.082,0.092,0.03,-0.029,0.06,0.062,0.161,0.154,0.157,0.004,-0.079,0.065,0.09
Outpatient,Visits,NA,Observation,2018,51.16,4.72,"2,504.12",230.896,20.432,0.919,"2,301.27",212.192,22.233,0.109,0.069,0.076,0.03,-0.002,0.074,0.033,0.288,0.233,0.245,0.035,-0.081,0.144,0.126
Outpatient,Visits,NA,Surgery,2014,516.38,63.97,"4,406.84",545.912,117.176,1,"4,406.84",545.912,117.176,,,,,,,,0,0,0,0,0,0,0
Outpatient,Visits,NA,Surgery,2015,526.8,65.19,"4,532.51",560.918,116.228,0.999,"4,530.13",560.624,116.289,0.02,0.019,0.029,-0.008,-0.001,0.028,-0.008,0.02,0.019,0.029,-0.008,-0.001,0.028,-0.008
Outpatient,Visits,NA,Surgery,2016,552.97,67.73,"4,705.47",576.317,117.516,1.001,"4,712.27",577.149,117.347,0.05,0.039,0.038,0.011,0.002,0.04,0.009,0.071,0.059,0.068,0.003,0.001,0.069,0.001
Outpatient,Visits,NA,Surgery,2017,574.84,69.03,"4,970.15",596.806,115.659,0.993,"4,937.00",592.826,116.436,0.04,0.019,0.056,-0.016,-0.008,0.048,-0.008,0.113,0.079,0.128,-0.013,-0.007,0.12,-0.006
Outpatient,Visits,NA,Surgery,2018,616.29,72.38,"5,290.98",621.42,116.479,0.983,"5,201.80",610.947,118.476,0.072,0.049,0.065,0.007,-0.01,0.054,0.018,0.193,0.132,0.201,-0.006,-0.017,0.18,0.011
Professional,NA,NA,All Professional Services,2014,"1,704.57",358.28,102.441,21.532,"16,639.63",1,102.441,21.53,"16,639.63",,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,All Professional Services,2015,"1,757.73",375.16,105.089,22.43,"16,726.16",1.009,106.074,22.64,"16,570.80",0.031,0.047,0.026,0.005,0.009,0.035,-0.004,0.031,0.047,0.026,0.005,0.009,0.035,-0.004
Professional,NA,NA,All Professional Services,2016,"1,823.77",389.67,108.012,23.078,"16,884.89",1.031,111.393,23.80,"16,372.42",0.038,0.039,0.028,0.009,0.022,0.05,-0.012,0.07,0.088,0.054,0.015,0.031,0.087,-0.016
Professional,NA,NA,All Professional Services,2017,"1,898.92",401.51,111.954,23.672,"16,961.70",1.029,115.215,24.36,"16,481.61",0.041,0.03,0.036,0.005,-0.002,0.034,0.007,0.114,0.121,0.093,0.019,0.029,0.125,-0.009
Professional,NA,NA,All Professional Services,2018,"1,984.56",417.81,113.441,23.883,"17,494.24",1.031,116.999,24.63,"16,962.20",0.045,0.041,0.013,0.031,0.002,0.015,0.029,0.164,0.166,0.107,0.051,0.031,0.142,0.019
Professional,NA,NA,Administered Drugs,2014,175.13,7.13,469.867,19.131,372.722,1,469.867,19.131,372.722,,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Administered Drugs,2015,193.6,7.7,545.89,21.698,354.654,0.942,513.972,20.429,376.679,0.105,0.079,0.162,-0.048,-0.058,0.094,0.011,0.105,0.079,0.162,-0.048,-0.058,0.094,0.011
Professional,NA,NA,Administered Drugs,2016,216.82,8.27,624.64,23.831,347.104,0.915,571.739,21.813,379.22,0.12,0.075,0.144,-0.021,-0.028,0.112,0.007,0.238,0.16,0.329,-0.069,-0.085,0.217,0.017
Professional,NA,NA,Administered Drugs,2017,242.91,9.4,709.378,27.447,342.422,0.918,651.224,25.197,373.001,0.12,0.136,0.136,-0.013,0.003,0.139,-0.016,0.387,0.318,0.51,-0.081,-0.082,0.386,0.001
Professional,NA,NA,Administered Drugs,2018,283.44,10.87,812.91,31.175,348.669,0.945,768.541,29.473,368.799,0.167,0.157,0.146,0.018,0.03,0.18,-0.011,0.618,0.524,0.73,-0.065,-0.055,0.636,-0.011
Professional,NA,NA,Administration of Drugs,2014,30.77,2.39,49.415,3.844,622.699,1,49.415,3.844,622.699,,,,,,,,0,0,0,0,0,0,0
Professional,NA,NA,Administration of Drugs,2015,32.41,2.44,50.626,3.81,640.158,1.031,52.179,3.926,621.104,0.053,0.019,0.025,0.028,0.031,0.056,-0.003,0.053,0.019,0.025,0.028,0.031,0.056,-0.003
Professional,NA,NA,Administration of Drugs,2016,33.46,2.54,51.239,3.884,653.051,1.024,52.449,3.975,637.987,0.032,0.04,0.012,0.02,-0.007,0.005,0.027,0.087,0.06,0.037,0.049,0.024,0.061,0.025
