plan_type,HCCI_category,HCCI_outpatient_service_type,HCCI_subcategory,RX_generic_brand_indicator,Year,spending_per_member,OOP_spending_per_member,adjusted_price,adjusted_OOP_price,adjusted_utilization_per_1000,case_mix_intensity_index,price,OOP_price,utilization_per_1000,annual_pct_change_spending_per_member,annual_pct_change_OOP_spending_per_member,annual_pct_change_adjusted_price,annual_pct_change_adjusted_utilization_per_1000,annual_pct_change_case_mix_intensity_index,annual_pct_change_price,annual_pct_change_utilization_per_1000,cumulative_pct_change_spending_per_member,cumulative_pct_change_OOP_spending_per_member,cumulative_pct_change_adjusted_price,cumulative_pct_change_adjusted_utilization_per_1000,cumulative_pct_change_case_mix_intensity_index,cumulative_pct_change_price,cumulative_pct_change_utilization_per_1000
CDHP,Inpatient,NA,Medical,NA,2018,289.677,15.727,"19,607.49","1,064.53",14.774,1.062,"20,828.13","1,130.80",13.908,0.078,0.044,0.025,0.052,0.022,0.048,0.028,0.156,-0.099,0.158,-0.002,0.062,0.23,-0.06
CDHP,Inpatient,NA,Mental Health,NA,2014,21.811,3.266,"8,277.20","1,239.52",2.635,1,"8,277.20","1,239.52",2.635,,,,,,,,0,0,0,0,0,0,0
CDHP,Inpatient,NA,Mental Health,NA,2015,22.199,3.163,"8,630.87","1,229.76",2.572,1,"8,630.84","1,229.76",2.572,0.018,-0.032,0.043,-0.024,0,0.043,-0.024,0.018,-0.032,0.043,-0.024,0,0.043,-0.024
CDHP,Inpatient,NA,Mental Health,NA,2016,23.669,3.162,"8,993.83","1,201.58",2.632,0.998,"8,979.52","1,199.67",2.636,0.066,0,0.042,0.023,-0.002,0.04,0.025,0.085,-0.032,0.087,-0.001,-0.002,0.085,0
CDHP,Inpatient,NA,Mental Health,NA,2017,27.198,3.435,"9,352.07","1,181.21",2.908,1.005,"9,402.77","1,187.61",2.893,0.149,0.086,0.04,0.105,0.007,0.047,0.097,0.247,0.052,0.13,0.104,0.005,0.136,0.098
CDHP,Inpatient,NA,Mental Health,NA,2018,29.258,3.664,"9,563.19","1,197.47",3.059,1.011,"9,672.74","1,211.18",3.025,0.076,0.066,0.023,0.052,0.006,0.029,0.046,0.341,0.122,0.155,0.161,0.011,0.169,0.148
CDHP,Inpatient,NA,Other,NA,2014,1.125,0.181,"7,338.09","1,182.61",0.153,,"7,338.09","1,182.61",0.153,,,,,,,,0,0,0,0,,0,0
CDHP,Inpatient,NA,Other,NA,2015,1.118,0.177,"7,168.34","1,132.37",0.156,,"7,168.34","1,132.37",0.156,-0.006,-0.026,-0.023,0.017,,-0.023,0.017,-0.006,-0.026,-0.023,0.017,,-0.023,0.017
CDHP,Inpatient,NA,Other,NA,2016,1.359,0.19,"8,945.51","1,252.68",0.152,,"8,945.51","1,252.68",0.152,0.216,0.078,0.248,-0.025,,0.248,-0.025,0.209,0.05,0.219,-0.008,,0.219,-0.008
CDHP,Inpatient,NA,Other,NA,2017,1.347,0.204,"8,174.59","1,236.48",0.165,,"8,174.59","1,236.48",0.165,-0.009,0.071,-0.086,0.085,,-0.086,0.085,0.198,0.124,0.114,0.075,,0.114,0.075
CDHP,Inpatient,NA,Other,NA,2018,1.717,0.227,"8,497.23","1,122.09",0.202,,"8,497.23","1,122.09",0.202,0.274,0.112,0.039,0.226,,0.039,0.226,0.526,0.251,0.158,0.318,,0.158,0.318
CDHP,Inpatient,NA,SNF,NA,2014,5.385,0.33,"6,427.51",393.599,0.838,,"6,427.51",393.599,0.838,,,,,,,,0,0,0,0,,0,0
CDHP,Inpatient,NA,SNF,NA,2015,4.894,0.296,"5,998.94",362.463,0.816,,"5,998.94",362.463,0.816,-0.091,-0.103,-0.067,-0.026,,-0.067,-0.026,-0.091,-0.103,-0.067,-0.026,,-0.067,-0.026
CDHP,Inpatient,NA,SNF,NA,2016,4.735,0.233,"6,335.51",311.37,0.747,,"6,335.51",311.37,0.747,-0.033,-0.213,0.056,-0.084,,0.056,-0.084,-0.121,-0.294,-0.014,-0.108,,-0.014,-0.108
CDHP,Inpatient,NA,SNF,NA,2017,4.532,0.258,"5,963.95",339.671,0.76,,"5,963.95",339.671,0.76,-0.043,0.109,-0.059,0.017,,-0.059,0.017,-0.158,-0.217,-0.072,-0.093,,-0.072,-0.093
CDHP,Inpatient,NA,SNF,NA,2018,4.553,0.25,"5,893.87",323.148,0.773,,"5,893.87",323.148,0.773,0.005,-0.033,-0.012,0.017,,-0.012,0.017,-0.154,-0.243,-0.083,-0.078,,-0.083,-0.078
CDHP,Inpatient,NA,Substance Use,NA,2014,11.676,2.06,"8,991.08","1,586.62",1.299,1,"8,991.08","1,586.62",1.299,,,,,,,,0,0,0,0,0,0,0
CDHP,Inpatient,NA,Substance Use,NA,2015,12.96,2.442,"9,600.82","1,809.04",1.35,0.997,"9,574.12","1,804.01",1.354,0.11,0.185,0.068,0.039,-0.003,0.065,0.042,0.11,0.185,0.068,0.039,-0.003,0.065,0.042
CDHP,Inpatient,NA,Substance Use,NA,2016,15.772,2.775,"10,590.41","1,863.00",1.489,0.992,"10,500.80","1,847.24",1.502,0.217,0.136,0.103,0.103,-0.006,0.097,0.11,0.351,0.347,0.178,0.147,-0.008,0.168,0.157
CDHP,Inpatient,NA,Substance Use,NA,2017,18.894,3.107,"12,092.03","1,988.59",1.562,0.989,"11,956.13","1,966.24",1.58,0.198,0.12,0.142,0.049,-0.003,0.139,0.052,0.618,0.508,0.345,0.203,-0.011,0.33,0.217
CDHP,Inpatient,NA,Substance Use,NA,2018,19.644,3.07,"12,349.21","1,930.12",1.591,0.988,"12,205.04","1,907.59",1.609,0.04,-0.012,0.021,0.018,0,0.021,0.018,0.682,0.49,0.373,0.225,-0.012,0.357,0.239
CDHP,Inpatient,NA,Surgical,NA,2014,437.209,14.881,"37,740.22","1,284.53",11.585,1,"37,740.22","1,284.53",11.585,,,,,,,,0,0,0,0,0,0,0
CDHP,Inpatient,NA,Surgical,NA,2015,440.659,14.298,"39,004.56","1,265.58",11.298,1.013,"39,523.92","1,282.44",11.149,0.008,-0.039,0.034,-0.025,0.013,0.047,-0.038,0.008,-0.039,0.034,-0.025,0.013,0.047,-0.038
CDHP,Inpatient,NA,Surgical,NA,2016,473.022,12.478,"40,528.63","1,069.09",11.671,1.034,"41,890.47","1,105.02",11.292,0.073,-0.127,0.039,0.033,0.02,0.06,0.013,0.082,-0.161,0.074,0.007,0.034,0.11,-0.025
CDHP,Inpatient,NA,Surgical,NA,2017,487.707,11.829,"42,627.43","1,033.87",11.441,1.049,"44,704.70","1,084.25",10.91,0.031,-0.052,0.052,-0.02,0.015,0.067,-0.034,0.116,-0.205,0.129,-0.012,0.049,0.185,-0.058
CDHP,Inpatient,NA,Surgical,NA,2018,508.646,11.935,"43,543.25","1,021.72",11.681,1.082,"47,127.56","1,105.82",10.793,0.043,0.009,0.021,0.021,0.032,0.054,-0.011,0.163,-0.198,0.154,0.008,0.082,0.249,-0.068
CDHP,Outpatient,All,All Outpatient,NA,2014,"1,281.95",315.954,498.534,122.87,"2,571.44",1,498.534,122.87,"2,571.44",,,0,0,0,0,0,0,0,0,0,0,0,0
CDHP,Outpatient,All,All Outpatient,NA,2015,"1,329.81",325.754,510.726,125.109,"2,603.76",0.999,509.989,124.929,"2,607.52",0.037,0.031,0.024,0.013,0.001,0.025,0.012,0.037,0.031,0.024,0.013,0.001,0.025,0.012
CDHP,Outpatient,All,All Outpatient,NA,2016,"1,413.93",340.493,526.56,126.802,"2,685.23",0.986,519.019,124.986,"2,724.24",0.063,0.045,0.03,0.032,0,0.031,0.032,0.103,0.078,0.055,0.046,0.001,0.057,0.044
CDHP,Outpatient,All,All Outpatient,NA,2017,"1,489.03",352.558,558.059,132.132,"2,668.23",0.974,543.725,128.738,"2,738.57",0.053,0.035,0.06,-0.006,-0.012,0.048,0.005,0.162,0.116,0.119,0.039,-0.01,0.107,0.05
CDHP,Outpatient,All,All Outpatient,NA,2018,"1,590.55",368.234,575.929,133.336,"2,761.71",0.962,553.889,128.233,"2,871.60",0.068,0.044,0.032,0.036,0.005,0.036,0.031,0.241,0.165,0.155,0.076,-0.006,0.148,0.082
CDHP,Outpatient,Procedure,All Outpatient Procedures,NA,2014,475.952,121.627,208.767,53.349,"2,279.82",1,208.767,53.349,"2,279.82",,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Procedure,All Outpatient Procedures,NA,2015,489.919,123.571,210.378,53.063,"2,328.76",1.007,211.829,53.429,"2,312.81",0.029,0.016,0.008,0.021,0.007,0.015,0.014,0.029,0.016,0.008,0.021,0.007,0.015,0.014
CDHP,Outpatient,Procedure,All Outpatient Procedures,NA,2016,520.526,129.559,213.53,53.148,"2,437.72",1.006,214.836,53.473,"2,422.90",0.062,0.048,0.015,0.047,-0.001,0.014,0.048,0.094,0.065,0.023,0.069,0.006,0.029,0.063
CDHP,Outpatient,Procedure,All Outpatient Procedures,NA,2017,542.68,133.102,224.592,55.085,"2,416.29",0.992,222.805,54.647,"2,435.68",0.043,0.027,0.052,-0.009,-0.014,0.037,0.005,0.14,0.094,0.076,0.06,-0.008,0.067,0.068
CDHP,Outpatient,Procedure,All Outpatient Procedures,NA,2018,572.719,138.488,225.609,54.554,"2,538.55",0.99,223.451,54.032,"2,563.07",0.055,0.04,0.005,0.051,-0.002,0.003,0.052,0.203,0.139,0.081,0.113,-0.01,0.07,0.124
CDHP,Outpatient,Procedure,Ambulance,NA,2014,27.895,4.937,643.928,113.967,43.32,1,643.928,113.967,43.32,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Procedure,Ambulance,NA,2015,29.47,5.079,672.129,115.834,43.845,1.008,677.725,116.798,43.483,0.056,0.029,0.044,0.012,0.008,0.052,0.004,0.056,0.029,0.044,0.012,0.008,0.052,0.004
CDHP,Outpatient,Procedure,Ambulance,NA,2016,31.88,5.197,699.032,113.958,45.606,1.029,719.538,117.3,44.306,0.082,0.023,0.04,0.04,0.021,0.062,0.019,0.143,0.053,0.086,0.053,0.029,0.117,0.023
CDHP,Outpatient,Procedure,Ambulance,NA,2017,33.132,5.221,722.609,113.88,45.851,1.019,736.451,116.061,44.989,0.039,0.005,0.034,0.005,-0.01,0.024,0.015,0.188,0.058,0.122,0.058,0.019,0.144,0.039
CDHP,Outpatient,Procedure,Ambulance,NA,2018,32.242,5.264,691.742,112.946,46.609,1.022,706.985,115.435,45.604,-0.027,0.008,-0.043,0.017,0.003,-0.04,0.014,0.156,0.066,0.074,0.076,0.022,0.098,0.053
CDHP,Outpatient,Procedure,DME,NA,2014,41.307,12.977,139.056,43.686,297.055,1,139.056,43.686,297.055,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Procedure,DME,NA,2015,43.113,13.414,138.281,43.024,311.779,1.002,138.561,43.111,311.15,0.044,0.034,-0.006,0.05,0.002,-0.004,0.047,0.044,0.034,-0.006,0.05,0.002,-0.004,0.047
CDHP,Outpatient,Procedure,DME,NA,2016,45.292,14.05,137.784,42.742,328.716,0.98,135.041,41.891,335.391,0.051,0.047,-0.004,0.054,-0.022,-0.025,0.078,0.096,0.083,-0.009,0.107,-0.02,-0.029,0.129
CDHP,Outpatient,Procedure,DME,NA,2017,46.469,14.305,139.404,42.915,333.344,0.942,131.387,40.447,353.683,0.026,0.018,0.012,0.014,-0.038,-0.027,0.055,0.125,0.102,0.003,0.122,-0.058,-0.055,0.191
CDHP,Outpatient,Procedure,DME,NA,2018,48.126,14.56,137.356,41.556,350.374,0.934,128.31,38.819,375.077,0.036,0.018,-0.015,0.051,-0.009,-0.023,0.06,0.165,0.122,-0.012,0.179,-0.066,-0.077,0.263
CDHP,Outpatient,Procedure,Lab,NA,2014,66.185,23.84,66.15,23.827,"1,000.54",1,66.15,23.827,"1,000.54",,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Procedure,Lab,NA,2015,65.738,23.593,63.888,22.929,"1,028.95",1.016,64.934,23.305,"1,012.38",-0.007,-0.01,-0.034,0.028,0.016,-0.018,0.012,-0.007,-0.01,-0.034,0.028,0.016,-0.018,0.012
CDHP,Outpatient,Procedure,Lab,NA,2016,73.572,25.528,65.304,22.659,"1,126.61",1.054,68.823,23.88,"1,069.01",0.119,0.082,0.022,0.095,0.037,0.06,0.056,0.112,0.071,-0.013,0.126,0.054,0.04,0.068
CDHP,Outpatient,Procedure,Lab,NA,2017,74.813,26.915,64.209,23.1,"1,165.15",1.07,68.719,24.723,"1,088.67",0.017,0.054,-0.017,0.034,0.016,-0.001,0.018,0.13,0.129,-0.029,0.165,0.07,0.039,0.088
CDHP,Outpatient,Procedure,Lab,NA,2018,73.789,26.92,61.344,22.38,"1,202.87",1.065,65.347,23.84,"1,129.19",-0.014,0,-0.045,0.032,-0.005,-0.049,0.037,0.115,0.129,-0.073,0.202,0.065,-0.012,0.129
CDHP,Outpatient,Procedure,Other Outpatient,NA,2014,159.638,31.93,274.986,55.001,580.532,1,274.986,55.001,580.532,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Procedure,Other Outpatient,NA,2015,168.734,33.111,284.046,55.739,594.038,1.009,286.502,56.221,588.947,0.057,0.037,0.033,0.023,0.009,0.042,0.014,0.057,0.037,0.033,0.023,0.009,0.042,0.014
CDHP,Outpatient,Procedure,Other Outpatient,NA,2016,179.285,34.924,284.814,55.481,629.48,1.023,291.388,56.761,615.279,0.063,0.055,0.003,0.06,0.014,0.017,0.045,0.123,0.094,0.036,0.084,0.023,0.06,0.06
CDHP,Outpatient,Procedure,Other Outpatient,NA,2017,190.783,36.186,294.788,55.913,647.188,1.032,304.3,57.717,626.957,0.064,0.036,0.035,0.028,0.009,0.044,0.019,0.195,0.133,0.072,0.115,0.032,0.107,0.08
CDHP,Outpatient,Procedure,Other Outpatient,NA,2018,204.588,38.87,299.759,56.952,682.508,1.026,307.647,58.45,665.008,0.072,0.074,0.017,0.055,-0.006,0.011,0.061,0.282,0.217,0.09,0.176,0.026,0.119,0.146
CDHP,Outpatient,Procedure,Radiology,NA,2014,180.927,47.943,504.85,133.779,358.377,1,504.85,133.779,358.377,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Procedure,Radiology,NA,2015,182.864,48.374,515.543,136.378,354.702,0.994,512.435,135.556,356.853,0.011,0.009,0.021,-0.01,-0.006,0.015,-0.004,0.011,0.009,0.021,-0.01,-0.006,0.015,-0.004
CDHP,Outpatient,Procedure,Radiology,NA,2016,190.498,49.859,531.203,139.033,358.617,0.999,530.756,138.916,358.919,0.042,0.031,0.03,0.011,0.005,0.036,0.006,0.053,0.04,0.052,0.001,-0.001,0.051,0.002
CDHP,Outpatient,Procedure,Radiology,NA,2017,197.483,50.474,609.341,155.74,324.092,1.008,614.484,157.055,321.38,0.037,0.012,0.147,-0.096,0.009,0.158,-0.105,0.092,0.053,0.207,-0.096,0.008,0.217,-0.103
CDHP,Outpatient,Procedure,Radiology,NA,2018,213.975,52.873,623.235,154.002,343.329,0.986,614.534,151.852,348.19,0.084,0.048,0.023,0.059,-0.022,0,0.083,0.183,0.103,0.234,-0.042,-0.014,0.217,-0.028
CDHP,Outpatient,Visits,All Outpatient Visits,NA,2014,805.999,194.327,"2,763.83",666.36,291.624,1,"2,763.83",666.36,291.624,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Visits,All Outpatient Visits,NA,2015,839.891,202.183,"2,856.78",687.702,293.999,0.998,"2,849.83",686.028,294.716,0.042,0.04,0.034,0.008,-0.002,0.031,0.011,0.042,0.04,0.034,0.008,-0.002,0.031,0.011
CDHP,Outpatient,Visits,All Outpatient Visits,NA,2016,893.405,210.934,"2,969.12",701.012,300.899,0.999,"2,964.83",699.998,301.335,0.064,0.043,0.039,0.023,0.001,0.04,0.022,0.108,0.085,0.074,0.032,-0.001,0.073,0.033
CDHP,Outpatient,Visits,All Outpatient Visits,NA,2017,946.349,219.456,"3,161.07",733.043,299.376,0.988,"3,124.35",724.529,302.894,0.059,0.04,0.065,-0.005,-0.01,0.054,0.005,0.174,0.129,0.144,0.027,-0.012,0.13,0.039
CDHP,Outpatient,Visits,All Outpatient Visits,NA,2018,"1,017.83",229.746,"3,310.33",747.213,307.47,0.997,"3,298.91",744.635,308.535,0.076,0.047,0.047,0.027,0.008,0.056,0.019,0.263,0.182,0.198,0.054,-0.003,0.194,0.058
CDHP,Outpatient,Visits,ER,NA,2014,282.668,110.656,"1,732.45",678.199,163.161,1,"1,732.45",678.199,163.161,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Visits,ER,NA,2015,302.309,117.684,"1,809.76",704.508,167.044,1.006,"1,820.80",708.804,166.031,0.069,0.064,0.045,0.024,0.006,0.051,0.018,0.069,0.064,0.045,0.024,0.006,0.051,0.018
CDHP,Outpatient,Visits,ER,NA,2016,327.753,126.773,"1,888.92",730.625,173.513,1.021,"1,929.02",746.134,169.907,0.084,0.077,0.044,0.039,0.015,0.059,0.023,0.159,0.146,0.09,0.063,0.021,0.113,0.041
CDHP,Outpatient,Visits,ER,NA,2017,350.678,134.754,"1,994.51",766.427,175.822,1.028,"2,050.68",788.011,171.006,0.07,0.063,0.056,0.013,0.007,0.063,0.006,0.241,0.218,0.151,0.078,0.028,0.184,0.048
CDHP,Outpatient,Visits,ER,NA,2018,373.365,140.944,"2,081.93",785.92,179.336,1.044,"2,172.58",820.141,171.853,0.065,0.046,0.044,0.02,0.015,0.059,0.005,0.321,0.274,0.202,0.099,0.044,0.254,0.053
CDHP,Outpatient,Visits,Observation,NA,2014,37.564,5.038,"1,952.04",261.779,19.244,1,"1,952.04",261.779,19.244,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Visits,Observation,NA,2015,38.606,4.969,"2,027.20",260.925,19.044,0.987,"2,000.06",257.432,19.302,0.028,-0.014,0.038,-0.01,-0.013,0.025,0.003,0.028,-0.014,0.038,-0.01,-0.013,0.025,0.003
CDHP,Outpatient,Visits,Observation,NA,2016,38.336,4.907,"2,049.92",262.382,18.701,0.946,"1,940.16",248.334,19.759,-0.007,-0.013,0.011,-0.018,-0.041,-0.03,0.024,0.021,-0.026,0.05,-0.028,-0.054,-0.006,0.027
CDHP,Outpatient,Visits,Observation,NA,2017,43.811,5.221,"2,243.28",267.341,19.53,0.933,"2,094.04",249.556,20.922,0.143,0.064,0.094,0.044,-0.014,0.079,0.059,0.166,0.036,0.149,0.015,-0.067,0.073,0.087
CDHP,Outpatient,Visits,Observation,NA,2018,50.452,5.683,"2,432.14",273.981,20.744,0.93,"2,262.35",254.854,22.301,0.152,0.089,0.084,0.062,-0.004,0.08,0.066,0.343,0.128,0.246,0.078,-0.07,0.159,0.159
CDHP,Outpatient,Visits,Surgery,NA,2014,485.766,78.633,"4,447.62",719.957,109.219,1,"4,447.62",719.957,109.219,,,,,,,,0,0,0,0,0,0,0
CDHP,Outpatient,Visits,Surgery,NA,2015,498.976,79.531,"4,550.00",725.216,109.665,1.003,"4,561.75",727.089,109.383,0.027,0.011,0.023,0.004,0.003,0.026,0.001,0.027,0.011,0.023,0.004,0.003,0.026,0.001
CDHP,Outpatient,Visits,Surgery,NA,2016,527.315,79.254,"4,712.45",708.265,111.898,1.002,"4,722.14",709.721,111.669,0.057,-0.003,0.036,0.02,-0.001,0.035,0.021,0.086,0.008,0.06,0.025,0.002,0.062,0.022
CDHP,Outpatient,Visits,Surgery,NA,2017,551.86,79.48,"4,996.18",719.563,110.456,0.995,"4,973.20",716.253,110.967,0.047,0.003,0.06,-0.013,-0.007,0.053,-0.006,0.136,0.011,0.123,0.011,-0.005,0.118,0.016
CDHP,Outpatient,Visits,Surgery,NA,2018,594.01,83.119,"5,231.86",732.083,113.537,0.993,"5,193.28",726.684,114.381,0.076,0.046,0.047,0.028,-0.003,0.044,0.031,0.223,0.057,0.176,0.04,-0.007,0.168,0.047
CDHP,Professional,NA,Administered Drugs,NA,2014,160.409,10.111,494.57,31.174,324.34,1,494.57,31.174,324.34,,,,,,,,0,0,0,0,0,0,0
CDHP,Professional,NA,Administered Drugs,NA,2015,176.818,10.518,563.33,33.511,313.879,0.94,529.276,31.485,334.074,0.102,0.04,0.139,-0.032,-0.06,0.07,0.03,0.102,0.04,0.139,-0.032,-0.06,0.07,0.03
CDHP,Professional,NA,Administered Drugs,NA,2016,198.55,10.638,656.183,35.157,302.583,0.896,587.861,31.496,337.749,0.123,0.011,0.165,-0.036,-0.046,0.111,0.011,0.238,0.052,0.327,-0.067,-0.104,0.189,0.041
CDHP,Professional,NA,Administered Drugs,NA,2017,225.665,11.755,740.98,38.596,304.55,0.912,675.65,35.193,333.998,0.137,0.105,0.129,0.007,0.018,0.149,-0.011,0.407,0.163,0.498,-0.061,-0.088,0.366,0.03
CDHP,Professional,NA,Administered Drugs,NA,2018,268.872,13.615,858.957,43.496,313.022,0.922,791.979,40.104,339.494,0.191,0.158,0.159,0.028,0.011,0.172,0.016,0.676,0.347,0.737,-0.035,-0.078,0.601,0.047
CDHP,Professional,NA,Administration of Drugs,NA,2014,28.027,3.129,44.863,5.009,624.729,1,44.863,5.009,624.729,,,,,,,,0,0,0,0,0,0,0
CDHP,Professional,NA,Administration of Drugs,NA,2015,28.442,3.127,43.858,4.822,648.508,1.038,45.516,5.005,624.877,0.015,-0.001,-0.022,0.038,0.038,0.015,0,0.015,-0.001,-0.022,0.038,0.038,0.015,0
CDHP,Professional,NA,Administration of Drugs,NA,2016,30.07,3.134,44.823,4.672,670.852,1.03,46.169,4.813,651.294,0.057,0.002,0.022,0.034,-0.008,0.014,0.042,0.073,0.002,-0.001,0.074,0.03,0.029,0.043
CDHP,Professional,NA,Administration of Drugs,NA,2017,30.804,3.238,46.295,4.866,665.373,1.035,47.915,5.037,642.877,0.024,0.033,0.033,-0.008,0.005,0.038,-0.013,0.099,0.035,0.032,0.065,0.035,0.068,0.029
CDHP,Professional,NA,Administration of Drugs,NA,2018,32.601,3.265,46.334,4.641,703.598,1.032,47.815,4.789,681.81,0.058,0.008,0.001,0.057,-0.003,-0.002,0.061,0.163,0.043,0.033,0.126,0.032,0.066,0.091
CDHP,Professional,NA,All Professional Services,NA,2014,"1,536.74",504.665,103.737,34.067,"14,813.79",1,103.737,34.067,"14,813.79",,,,,,,,0,0,0,0,0,0,0
